iter	Passed	Remaining
0	10	10192
1	14	7420
2	18	6297
3	24	6062
4	28	5701
5	32	5457
6	36	5157
7	42	5289
8	46	5095
9	49	4942
10	55	4950
11	59	4879
12	63	4834
13	67	4731
14	73	4809
15	76	4724
16	81	4688
17	84	4622
18	90	4655
19	95	4663
20	98	4594
21	105	4680
22	109	4634
23	112	4593
24	117	4586
25	122	4578
26	126	4557
27	130	4518
28	136	4565
29	140	4538
30	144	4514
31	148	4483
32	153	4504
33	157	4474
34	161	4451
35	167	4475
36	170	4443
37	175	4432
38	179	4415
39	192	4631
40	212	4967
41	224	5126
42	242	5390
43	248	5388
44	252	5349
45	256	5310
46	260	5276
47	265	5271
48	270	5246
49	275	5226
50	280	5226
51	285	5204
52	289	5169
53	295	5177
54	299	5146
55	302	5092
56	309	5113
57	313	5087
58	318	5082
59	322	5055
60	327	5040
61	331	5013
62	334	4982
63	339	4958
64	342	4929
65	346	4902
66	350	4875
67	354	4852
68	357	4823
69	361	4798
70	364	4772
71	368	4746
72	371	4722
73	375	4699
74	378	4673
75	382	4650
76	386	4627
77	390	4612
78	394	4596
79	397	4573
80	401	4551
81	408	4569
82	416	4603
83	424	4627
84	433	4668
85	440	4679
86	447	4696
87	460	4769
88	464	4757
89	468	4740
90	480	4795
91	484	4783
92	491	4793
93	496	4781
94	500	4770
95	506	4773
96	513	4779
97	519	4782
98	524	4776
99	531	4782
100	536	4779
101	543	4786
102	547	4766
103	553	4766
104	560	4778
105	564	4761
106	569	4754
107	575	4751
108	579	4733
109	583	4722
110	587	4706
111	592	4697
112	596	4679
113	601	4674
114	609	4693
115	619	4718
116	626	4726
117	637	4766
118	642	4754
119	646	4739
120	652	4740
121	658	4740
122	663	4730
123	671	4743
124	674	4724
125	679	4713
126	683	4699
127	688	4689
128	692	4675
129	697	4665
130	703	4668
131	707	4652
132	712	4641
133	717	4638
134	721	4623
135	726	4615
136	730	4602
137	735	4592
138	739	4579
139	743	4569
140	749	4566
141	753	4551
142	758	4544
143	763	4536
144	766	4521
145	770	4507
146	775	4497
147	780	4495
148	784	4479
149	788	4469
150	793	4462
151	800	4464
152	808	4476
153	815	4477
154	824	4494
155	835	4521
156	840	4512
157	845	4505
158	849	4493
159	854	4487
160	860	4485
161	864	4470
162	869	4464
163	875	4461
164	878	4445
165	882	4434
166	886	4423
167	891	4416
168	895	4401
169	900	4394
170	904	4386
171	908	4374
172	912	4363
173	917	4356
174	923	4352
175	926	4338
176	931	4329
177	935	4322
178	939	4311
179	943	4298
180	948	4292
181	956	4299
182	966	4313
183	971	4310
184	983	4334
185	997	4363
186	1010	4392
187	1026	4434
188	1034	4438
189	1040	4435
190	1044	4422
191	1048	4410
192	1051	4398
193	1055	4386
194	1059	4373
195	1063	4361
196	1066	4349
197	1070	4337
198	1074	4325
199	1078	4313
200	1082	4302
201	1086	4292
202	1090	4280
203	1094	4269
204	1097	4257
205	1101	4245
206	1105	4234
207	1109	4223
208	1112	4212
209	1116	4201
210	1120	4189
211	1124	4179
212	1128	4169
213	1132	4159
214	1136	4150
215	1141	4143
216	1145	4132
217	1152	4132
218	1157	4128
219	1161	4118
220	1167	4114
221	1172	4110
222	1178	4104
223	1184	4103
224	1193	4110
225	1204	4125
226	1212	4127
227	1216	4118
228	1223	4119
229	1227	4108
230	1230	4097
231	1235	4090
232	1240	4082
233	1244	4072
234	1248	4065
235	1252	4055
236	1258	4051
237	1262	4042
238	1266	4033
239	1271	4025
240	1276	4021
241	1282	4016
242	1288	4012
243	1294	4011
244	1299	4004
245	1304	3998
246	1308	3988
247	1314	3987
248	1318	3977
249	1323	3971
250	1327	3962
251	1331	3951
252	1336	3946
253	1340	3936
254	1344	3929
255	1348	3919
256	1353	3913
257	1357	3903
258	1361	3896
259	1366	3888
260	1371	3883
261	1378	3883
262	1384	3880
263	1392	3880
264	1400	3884
265	1409	3888
266	1413	3880
267	1418	3873
268	1421	3864
269	1426	3855
270	1432	3853
271	1436	3845
272	1441	3837
273	1445	3831
274	1451	3827
275	1456	3820
276	1460	3810
277	1464	3804
278	1468	3794
279	1473	3787
280	1477	3780
281	1481	3772
282	1485	3763
283	1489	3755
284	1494	3749
285	1498	3740
286	1502	3732
287	1507	3725
288	1514	3725
289	1518	3718
290	1522	3710
291	1528	3705
292	1531	3696
293	1536	3689
294	1540	3681
295	1545	3675
296	1549	3668
297	1553	3659
298	1559	3655
299	1563	3647
300	1571	3650
301	1577	3647
302	1586	3648
303	1594	3651
304	1605	3658
305	1610	3652
306	1615	3646
307	1619	3638
308	1623	3631
309	1627	3622
310	1632	3616
311	1637	3611
312	1641	3603
313	1645	3595
314	1649	3586
315	1654	3581
316	1658	3573
317	1662	3566
318	1667	3559
319	1671	3552
320	1676	3545
321	1680	3537
322	1685	3533
